Position_Title,Skill1,Skill2,Skill3,Skill4,Skill5,Skill6,Skill7
Undergraduate research assistant,Helping/Serving others,Analytical Skills,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.,Independent
Videographer/Video Editor,Video Production,Public Relations,Helping/Serving others,Spanish,Attentive to detail,Communication (Oral),Communication (Written)
Help desk technician,Computer Networking,Excel,MS Word,WordPerfect,Helping/Serving others,Attentive to detail,Communication (Oral)
help desk technician,Computer Networking,Excel,MS Word,WordPerfect,Helping/Serving others,Attentive to detail,Communication (Oral)
Student Library Assistant,Record keeping,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.
Student Library Assistant,Record keeping,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.
Student Library Assistant,Record keeping,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.
Student Library Assistant,Record keeping,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.
CHC Library and Archives Student Assista,Excel,MS Word,Windows,Helping/Serving others,Spanish,Attentive to detail,Communication (Oral)
CHC Library and Archives Student Assistant,Excel,MS Word,Windows,Helping/Serving others,Spanish,Attentive to detail,Communication (Oral)
Office Assistant,Events/Promotions,Excel,MS Word,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written)
Office Assistant,Events/Promotions,Excel,MS Word,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written)
Office Assistant,Events/Promotions,Excel,MS Word,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written)
Office Assistant,Events/Promotions,Excel,MS Word,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written)
Office Assistant,Public Relations,Database programs,Excel,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written)
Office Assistant,Public Relations,Database programs,Excel,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written)
Help Desk Technician,Computer Networking,Excel,MS Word,WordPerfect,Helping/Serving others,Attentive to detail,Communication (Oral)
Help desk technician,Computer Networking,Excel,MS Word,WordPerfect,Helping/Serving others,Attentive to detail,Communication (Oral)
help desk technician,Computer Networking,Excel,MS Word,WordPerfect,Helping/Serving others,Attentive to detail,Communication (Oral)
Help Desk Technician,Computer Networking,Excel,MS Word,WordPerfect,Helping/Serving others,Attentive to detail,Communication (Oral)
ILL/Reserves Student Assistant,Public Relations,Windows,Helping/Serving others,Research,Shelving,Attentive to detail,Communication (Oral)
ILL/Reserves Student Assistant,Public Relations,Windows,Helping/Serving others,Research,Shelving,Attentive to detail,Communication (Oral)
ILL/Reserves Student Assistant,Public Relations,Windows,Helping/Serving others,Research,Shelving,Attentive to detail,Communication (Oral)
ILL/Reserves Student Assistant,Public Relations,Windows,Helping/Serving others,Research,Shelving,Attentive to detail,Communication (Oral)
Amigos Office Assistant,Accounting/Bookeeping,Public Relations,Record keeping,Excel,MS Word,Helping/Serving others,Attentive to detail
Amigos Office Assistant,Accounting/Bookeeping,Public Relations,Record keeping,Excel,MS Word,Helping/Serving others,Attentive to detail
Clerical,Public Relations,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.
Clerical,Public Relations,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct
Clerical,Public Relations,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct
Student Assistant,Excel,MS Word,Helping/Serving others,Attentive to detail,Classifying/Organizing,Communication (Oral),Communication (Written)
student assistant,Excel,MS Word,Helping/Serving others,Attentive to detail,Classifying/Organizing,Communication (Oral),Communication (Written)
Student Assistant,Excel,MS Word,Helping/Serving others,Attentive to detail,Classifying/Organizing,Communication (Oral),Communication (Written)
Student assistant,Excel,MS Word,Helping/Serving others,Attentive to detail,Classifying/Organizing,Communication (Oral),Communication (Written)
Security Assistant,Public Relations,Public Speaking,Record keeping,Database programs,Helping/Serving others,Attentive to detail,Communication (Oral)
office assistant,Excel,MS Word,Powerpoint,Analytical Skills,Attentive to detail,Classifying/Organizing,Communication (Oral)
Office Assistant,Excel,MS Word,Powerpoint,Analytical Skills,Attentive to detail,Classifying/Organizing,Communication (Oral)
Office Assistant,Excel,MS Word,Powerpoint,Analytical Skills,Attentive to detail,Classifying/Organizing,Communication (Oral)
Student Assistant,Helping/Serving others,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.,Independent,Logical
Digital Production Student Assistant,Database programs,PhotoShop,Windows,Helping/Serving others,Communication (Oral),Communication (Written),Cooperative
Digital Production Student Assistant,Database programs,PhotoShop,Windows,Helping/Serving others,Communication (Oral),Communication (Written),Cooperative
Digital Production Student Assistant,Database programs,PhotoShop,Windows,Helping/Serving others,Communication (Oral),Communication (Written),Cooperative
Digital Production Student Assistant,Database programs,PhotoShop,Windows,Helping/Serving others,Communication (Oral),Communication (Written),Cooperative
Clinical Office Assistant,Database programs,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.
Clinical Office Assistant,Database programs,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.
Clinical Office Assistant,Database programs,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.
clinical office assistant,Database programs,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.
clinical office assistant,Database programs,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.
Event Planning/Fundraising Coordinator,Events/Promotions,Public Relations,Communication (Oral),Communication (Written),Resourceful,,
Marketing/PR Coordinator,Graphics/Design,Communication (Oral),Communication (Written),Resourceful,,,
Community Engagement Intern,MS Word,Attentive to detail,Communication (Oral),Communication (Written),Copying/Collating,Filing,FAX
research assistant,Windows,Attentive to detail,Communication (Oral),Communication (Written),Conveying Understanding,Cooperative,Email/Internet
"Assist. Web Designer, Production Assist.",Public Relations,Computer Networking,HTML Programming,Java Script,MS Word,Programming,Windows
Student Assistant,Database programs,Excel,Powerpoint,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written)
"Assist. Web Designer, Production Assist",Public Relations,Computer Networking,HTML Programming,Java Script,MS Word,Programming,Windows
"Assist. Web Designer, Production Assist",Public Relations,Computer Networking,HTML Programming,Java Script,MS Word,Programming,Windows
Federal Work Study,Public Relations,Database programs,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative
Federal Work Study,Public Relations,Database programs,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative
federal work study,Public Relations,Database programs,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative
federal work study,Public Relations,Database programs,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative
Peer Advisor,Events/Promotions,Public Relations,Public Speaking,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written)
Peer Advisor,Events/Promotions,Public Relations,Public Speaking,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written)
Student Assistant,Graphics/Design,Database programs,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative
Student Assistant,Public Relations,Database programs,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative
Student Assistant,Excel,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.
Student Assistant,Public Relations,Database programs,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative
Student Assistant,Excel,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.
student assistant,Database programs,Excel,Powerpoint,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written)
Student Assistant (FWS),Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.,Independent,Logical
student assistant (FWS),Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.,Independent,Logical
student assistant (FWS),Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.,Independent,Logical
Student Assistant-Pediatric Advancement,Attentive to detail,Communication (Oral),Communication (Visual),Communication (Written),,,
Student Office Assistant,Database programs,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.
Ticket Representative,Banking,Events/Promotions,Phone sales/Telemarket,Public Relations,Database programs,Helping/Serving others,Attentive to detail
Ticket Representative,Banking,Events/Promotions,Phone sales/Telemarket,Public Relations,Database programs,Helping/Serving others,Attentive to detail
Web Assistant,Graphics/Design,Public Relations,Database programs,HTML Programming,Java Script,MS Word,WordPerfect
web assistant,Graphics/Design,Public Relations,Database programs,HTML Programming,Java Script,MS Word,WordPerfect
web assistant,Graphics/Design,Public Relations,Database programs,HTML Programming,Java Script,MS Word,WordPerfect
Receptionist/Clerk/Assistant,Analytical Skills,Attentive to detail,Classifying/Organizing,Communication (Oral),Communication (Visual),Communication (Written),Conveying Understanding
Student Assistant,Database programs,Excel,Powerpoint,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written)
student assistant,Public Relations,Database programs,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative
Student Assistant,Graphics/Design,Database programs,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative
Student Assistant,Database programs,Excel,Powerpoint,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written)
Student Assistant,Public Relations,Database programs,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative
Student Assistant (FWS),Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.,Independent,Logical
Web Assistant,Graphics/Design,Public Relations,Database programs,HTML Programming,Java Script,MS Word,WordPerfect
Student Assistant,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.,Independent
Student Assistant,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.,Independent
Student Assistant,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.,Independent
Student Assistant,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.,Independent
Administrative & Performance Support,Public Relations,Research,Attentive to detail,Communication (Visual),Communication (Written),Follow detail instruct.,Organized
office assistant,Attentive to detail,Work well with data,Copying/Collating,Data entry,Filing,,
office assistant,Attentive to detail,Work well with data,Copying/Collating,Data entry,Filing,,
Student Assistant,Excel,MS Word,Attentive to detail,Communication (Oral),Thorough,Data entry,Filing
Student Assistant,Cooperative,,,,,,
Waiters,Helping/Serving others,Waiter/Waitress,Food preparation,,,,
Gallery Monitor - CAS Gallery,Events/Promotions,Public Relations,Public Speaking,Helping/Serving others,Communication (Oral),Communication (Written),Cooperative
Gallery Monitor - CAS Gallery,Events/Promotions,Public Relations,Public Speaking,Helping/Serving others,Communication (Oral),Communication (Written),Cooperative
Gallery Monitor - CAS Gallery,Events/Promotions,Public Relations,Public Speaking,Helping/Serving others,Communication (Oral),Communication (Written),Cooperative
Gallery Monitor - CAS Gallery,Events/Promotions,Public Relations,Public Speaking,Helping/Serving others,Communication (Oral),Communication (Written),Cooperative
Concessions Manager Assistant,Excel,MS Word,Helping/Serving others,Copying/Collating,Data entry,Email/Internet,Filing
Catering/Concessions Supervisors,Miscellaneous Skills,,,,,,
programer,Graphics/Design,Database programs,Java Script,Helping/Serving others,Artistic,Attentive to detail,Communication (Oral)
programer,Graphics/Design,Database programs,Java Script,Helping/Serving others,Artistic,Attentive to detail,Communication (Oral)
Research Assistant,Database programs,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct
Research Assistant,Database programs,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct
Academic Mentor,Public Relations,Helping/Serving others,Assertive,Communication (Oral),Communication (Written),Cooperative,Enthusiastic
Federal Work Student,Public Relations,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.,Independent
Federal work student,Public Relations,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.,Independent
Federal work student,Public Relations,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.,Independent
Federal Work Study - Student,Public Relations,Excel,MS Word,Powerpoint,Helping/Serving others,Attentive to detail,Communication (Oral)
Federal Work Study - Student,Public Relations,Excel,MS Word,Powerpoint,Helping/Serving others,Attentive to detail,Communication (Oral)`
Programmer,Graphics/Design,Database programs,Java Script,Helping/Serving others,Artistic,Attentive to detail,Communication (Oral)
Quality Control Assistants,HTML Programming,Java Script,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Enthusiastic
Quality Control Assistants,HTML Programming,Java Script,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Enthusiastic
Research Assistant,Database programs,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.
Student Assistant,Events/Promotions,Public Relations,Excel,MS Word,Powerpoint,Helping/Serving others,Spanish
Student Assistant,MS Word,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.
Student assistant,MS Word,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.
"Student Assistant, Communications",MS Word,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.
"Student Assistant, Communications",MS Word,Helping/Serving others,Attentive to detail,Communication (Oral),Communication (Written),Cooperative,Follow detail instruct.
Technology Student Assistant,Database programs,Helping/Serving others,Attentive to detail,Classifying/Organizing,Communication (Oral),Cooperative,Follow detail instruct.
Technology Student Assistant,Database programs,Helping/Serving others,Attentive to detail,Classifying/Organizing,Communication (Oral),Cooperative,Follow detail instruct.
